TargetField,TextField
y,"Please don't let us down on building the Wall and removing the Illegals from this country, i know you will do the Criminals first but We the Deplorables were promised all and then let good ones apply to return."
n,"His crude comments about women during the campaign, along with allegations from some women that Trump inappropriately molested them, are among the issues that have infuriated the protesters."
y,"The best way to defeat the left is just IGNORE THEM , they will eventually .. get tired of talking to themselves and trying to convenience themselves into believing in all their idiotic spew.. and go away.... or better yet send them to the coloring pages ... or give them the pizza place number."
n,"It's not even about Hillary's loss at this point. It's about a pathetic con man that's bamboozled you. Maybe after you see he has no idea what in the hell he's doing or the fact that he will keep back pedaling on his false promises, you will come around to a dimension known as reality."
n,"Illegals and drugs come to the US in planes, boats, trucks and buses. Can someone please tell me why we need a $300 billion wall? Are you Trumpsters realy that stupid?"
c,"We don't expect anyone to change our lives, that's for us to do."
y,"Mr Trump don't forget your promises, build the wall,drained the swamp, repel Obamacare, cancel the refugees migration, and put Hillary on trial, reason we support you.....thank you sir"
c,"You can't convict someone for allegations. Anybody at anytime can say you did something that you didn't, and would you want everybody ready to throw you in and throw away the key. That's not how are system works."
y,i can tell you 2 things it dont matter what the wall cost because mexico will pay for it and WE WON WE WON WE WON you lost HAHAHAJAJHA
y,The best president in the world with my friend
n,"Your asinine, playground insult proves why you voted for Trump. He loves uneducated hillbillies"
c,There's even protests starting in Canada against Trump
y,"One of the happiest moments of my life! My daughter was crying with joy. Family members were texting and me? I was jumping up and down running from tv to tv yelling "" he won, he actually won"" praying and thanking God. I'll never forget it as long as I live, none of my family will."
y,"historic moment i felt so proud for you, your family and the american people , well those who voted for you! stay strong, safe and don't fold mr. president. God bless you, protect you and your family!"
y,This is a movement and the patriotic Americans hired the best man for the job to get our sanity returned and find ourselves again after eight years of radical socialists.
y,"Stick to your promises. Hillary goes to jail once that special prosecutor gets working. Jobs. The wall. You are the boss, now be a true outsider and keep your word!"
y,"Im a millennial. I was first for Bernie and I used to hate you, now I am going to give you a chance to make America great again! I'm really hoping you can fix the mess Obama has done! I know I'm going to loose friends because of this decision."
y,"Mr.Trump, you MUST NOT GO SOFT during these trying days! Keep the determination that won the election for you..do not be fooled by anyone who tries to change you..stay strong and please try to do something about these riots..I fear for many lives, including yours! God bless!"
y,And just imagine! The dems had 3 million illegals and 4 million dead ppl vote for hillary...thus their SHOCK that they lost. The trump force is a force they could not believe or defeat! Popular vore my rear! Yay TRUMP!
c,"Evidence is mounting that the anti-Trump protests are in fact, paid organized George Soros sponsored events and not grass roots whatsoever."
y, I have been on trump train since day 1...would love to see diverse cabinet of the best and brightest...Big chance for 45 state win in 4 years...build Latino coalition.
y,"Your Victory is being used as just another platform to protest. This has become the increasingly ""new trend"", and has been happening long before you decided to run for office. It is their right to protest and gather peacefully to voice their grievances, however, when it includes violence, destruction, blocks streets from people getting to and from work, and emergency vehicles, then there needs to be something done to bring it to order, or stop it."
y,"Thank you Mr. Trump for giving up your billionaire lifestyle to be humiliated, ridiculed and slandered to save the freedom of the American people. Praying for your safety and for your family. God bless!"
y,"Wondring why it's ok to let Hillary off because she's already ""suffered"". Right, suffering in her multiple mansions with her multi-millions. Plenty of Americans have suffered but still have to obey the law or go to prison"
y,"If DONALD TRUMP goes back on his word and does NOT see to it to have HILLARY prosecuted, he Will NOT win a second term; WE need a President who keeps his campaign promises."
y,"?Never Mitt Romney, he is not loyal to you Mr.Trump......he would be a thorn in your side.Rudy much better choice in my opinion"
y,"?Mr. Trump, you're doing alot of work for the American people and you're not even in office! Stay strong and stay positive! Greetings from Singapore."
y,"I am so glad you won!!! But remember your promises. We are holding you accountable. If there are reasons, then tell us why things change. Keep us informed."
c,Mr Trump realize Nikki Haley fought for Hillary every step of the way and like many others jumped on board at the last minute to cover their political backsides.
c,"Not happy about Nikki Haley, the head of the anti-confederate flag movement. She obviously does not understand the importance of American history and what the flag stands for. There should be no place for someone like that in your administration!"
c,Frist off only a AG can appoint a spicial prosecutor. So lets just sit back and see what happens after PE Trump and his cabnet takes over.
y,"Our president Mr. Trump is a smart man, who i know loves our great nation, bear with him and lets all stay behind him. "
y,?Please do not let your support base down
y,Please bud don't let Hillary get away we must make an example out of her
y,It's going to be nice to have a president who actually CARES about people!?
c,Why are people angry about this? We need to support the officers. They put their lives on the line everyday to keep us safe.
y,I'm pretty sure you have already worked harder in your first couple weeks than your predecessor has the last 8 years.
y,"Keep up the great work and Happy Thanksgiving, President Elect Trump!"
n,You do know that you have only been elected for 4 years?
y,"Thank you Mr. President . I am 70 years old & for the first time in a long time , I am looking forward to life for the next 8 years . . I thank God for you everyday & pray?"
y,Thanks for sharing. Hillary is curling up to a good book. This man is assembling the best delegates to handle our country's affairs and defend our best interests.
c,how about a tweet about how offensive Richard Spencer and other white nationalists are?
y,"Finally, I have a president! A man that I'm proud of and trust that he is doing good things for the correct reasons."
y,As a military family we are thrilled that we finally feel heard and protected by a strong leader!?
y,"Dear Mr Trump please be aware of our borders this upcoming days ,hopefully their won't be a big surprise on its way."
y,"Mr.President ignore the biased media and their cry baby whining, just stay focused and fix the mess Obama left you."
y,Good morning Mr. President.?
y,Please keep your word and appoint a special prosecutor to investigate Hillary Clinton and her foundation.?
y,"Chose wisely, Mr. Trump. We're sick and tired of politicians who don't live up to their campaign promises.?"
y,"Dear Mr Trump, wishing you a successful Presidency, lots of best wishes to you & your team. "
y,Donald Trump doing more in 3 weeks than Obama in 8 years!
y,For the first time in years I have hope for our country!!!
y,Mr. Trump has given the US hope. Something we haven't had for a long time.
y,"In less than two years time, all those dumbasses who ""protested"" are gonna realize how pointless their riots and hostility was."
y,Donald Trump is better than Hilary.
y,Hilary wants to start war and wants to open up all the borders.
y,The victory of donald Trump was the greatest thing that had ever happen to America. i'm confident that America will count many victories under Trump new administration like no body have ever seen before..
y,"Donald Trump is the man of all Americans that did not need to cheat , lie or have any help what so ever from the corrupt media to win this great election that the people choose."
c,?I bought Target stock at $70/share in August and not it is up to $79/share.?
y,I don't understand all the politics but God told me you are what this country needs.?
y,I have friends who live in other countries and they tell me that the American dollar has grown since the election of Trump. People are happy that there will be a business man in office instead of a politician.?
y,I am so excited for you to be our President! Hillary must pay for her crimes! I won't be completely happy until she does! 
y,Great news. Mr. Trump is our only hope to change Washington and make it run the way it was meant to.?
y,?just awesome! see everyone is wrong that he would fail. they are all scared and jealous now that he already has done a terrific job so soon.?
c,I'm watching the Fed to see if Janet Yellen is going to raise the interest rates.
y, i proudly voted for trump.
y, I hope those groups who cause hate and destruction will be classified as terriost groups
c,President election has done more to help all American way before taking the oath of Presidency.
y,"There is great hope for America w/Trump's election, but the fight has only begun for us in this Nation."
c," While the evil continue to plot their ways, with God's help, you confound them! "
y,Independent voter so proud of your accomplishments so far. Keep up the excellent job. Democrat never again
y,So far doin good be tuff in the beginning picking the right people to fill jobs
y,?Trump has done more in a couple weeks than what has been done in 8 years and I feel more hope for our country now.
y,Thank you for working so vigilantly for the American people. Hope you took some time to have dinner with your family.
y,"?Great job Donald, you are an awesome guy !?"
c,.Let's wait on that until you actually are in office with working authority.
y,?Please don't do any interviews with CNN when you're President! They are so biased against you it's unbelievable!
y,Dance with those demons Donald! don't sleep with them though. Make America great again
y,?I LOVE President-elect Trump.
n,Please don't trust this man. He is a horrible man and he has hurt Seniors in a big way.?
y,"Push YOUR agenda, you know, the one that got you there. Don't try to appease others , they will never give you praise for anything, and if they do, it's a trap"
n,Are you kidding me? He's been part of every anti conservative legislation on the table for a decade. 
y,You give the American people a spiritual uplift daily and most importantly we love it! You Go President Elect Donal Trump.....wish you were the President today as we need you bigly!
y,"Thank you Donald J. Trump for standing up for American values, American Citizens, American dreams."
y,"Thank you, America. I will not let you down. I will always be your voice. I will always be your champion."
y,"Awesome, you are making great choices, you will be the finest President America has ever known. "
y, Your election win has taken the foreboding political rain clouds away and the sun now shines on a brighter future for America. 
y,"You have already made me proud to be American again. I am a veteran and a American Indian. Very proud of you and Mr Pence, let's build a great nation together for all our family's. "
y,Mr. President now its your turn to tell the World that American cane be greate without ware! I
n," I am a proud American, just not proud of you. You have yet to show me something to be proud of. Your appointees are a big downfall for America. You continue to lie about crap. "
y,God bless our new president to be- Donald Trump
y,Be careful Mr Trump the democrats will do anything to ruin your presidential term.
y,Good morning Mr. President (elect) Trump! I hope you have a wonderful day today and thank you for everything you are doing for We the People.
y,President trump Is going to be great & Vic president pence!!
y,Congratulations to our new President Donald Trump and our new VP Mike Pence. America will be great again no matter how many people still are against us.
c,So much for Obama's smooth transition. Right after he said that his administration and other democrats started to push back against every nomination he announced. 
y," I just have to say, it's awesome to have a President who is unapologetically patriotic."
c,Hope keep your promise to the middle class and make sure Republicans in Congress dont touch Social Security and make sure all Americans have health insurance!
y, please get all of these illegal immigrant anti American refugees out of our beautiful country. 
c,Daniel Gonzalez gets the heads up (IT) from looming ELECTION FRAUD procedure!.
n, I love you Hillary!!!! We don't deserve you!!! You would have changed my life!!! My heart is broken. I cannot believe evil has won. Hate defeated love and hope. I am devastated. You are so beautiful I am sorry the American people are so blind. 
n,America would have been so wonderful with you as our beautiful president. I can't stop crying. So many of us have lost so much in one night....!!
y," Hillary has so much money she even bought off the FBI with other country leaders money, How corrupt is that? "
n, This Election Was RIGGED! States that were Democrat and states that Hillary was projected to win big were overturned! I hope someone has enough sense to investigate this!
y,Hillary wasted 2 million dollars of her supporters money hiring Beyonce. You had to be an idiot to even support somebody like her.
n,Am I the only one to notice more than half the people upset that Hillary didn't win are all uneducated on such topic?
n,Trump becoming president is even worse than us leaving the EU¡­
c, If that were the case surely he would've paid taxes. Hillary paid taxes and it's out there for all to see. That's her money she has already spent on the American pple.
n, I sympathize with you on your loss. Anytime you want something a lot it is disappointing when you don't get it. I'm sorry about that. 
y,THIS IS WHY HE WON.. BECAUSE HE IS FOR AMERICA..
n," Hillary, you should be proud of THE message you sended to THE American people!"
n,"THIS COULD HAVE BEEN INITIATED WAY WAY Wy back when he startef insulting prople like JOHN MC.,JEB!,AND HIS OTHER OPPONANTS.ALTHOUGH IT IS NEVER LATE TO START UP THE RIGHT."
n, I am so tier for seeing him with his thumb up...it belongs somewhere else. And that ok sign...fooled the masses that all was ok when the opposite was true.
n,"Asshat like they have the power. Come on truth. He's so illegal , get him out!"
n," Pretty damned ridiculous, role model, dick cheney, right, save it. Iraq war for weapons of mass destruction that did NOT exist. "
n,"Now this is getting terribly out of hands! So sad, our children are being led astray. Trump is a terrible influence on our young people!"
n,"He wants to start another war, does he? How about the revolution he will be facing by the 2 million angry voters who outvoted him and his Hitler pal?"
n,ypical. How nice that evil people rule over all of us. Fucked up planet. I hate it.
n,Criminals are dedicated its like when someone has a power but uses it for bad Pence Cleary says he wants that power of control which is dedication to his position
n,Two horrible men.A menace for our country.
n,I think we all need one after trump dumass president. Trumpism is upon us and a dam sex offender. Let me hit that Shit.
n,go fuck yourself you lying ass republican
n,The America he envisions is nothing short of a FASCIST DICTATORSHIP!
n,"This came just days after he said he will BAN the media from ""harsh"" criticisms of him once he is president! "
n,"SPOILER ALERT: Yes, he did. Help SPREAD THE WORD to FIGHT FASCISM!"
n,The next world war is already here! Get the word out!
n," Bullshit propaganda.......some of us do our research, regardless of what the bought-off media whores say"
n,"They were conned BIG-TIME, and he's gonna run off with all their money BIG-TIME."
n,"Pretty damned ridiculous, role model, dick cheney, right, save it."
y,"True peaceful and democratic movement. You should make 'hi five' with identical pathetic Polish movement.? Guys, just accept your president, dont make new borders between your people."
n,Pigs are gearing up to hurt innocent people cops get off on hurting the weak
n,WE SAID NO TO A PIPELINE IN MAINE! BUT IT MAY HELP ALMOST AS MUCH AS IT DESTROYS LIKE A SUNKIN SHIP ALOT OF POLUTION BUT IUT TURND INTO A REEF AND IT ALMOST HELPS THE FISH & OTHER SEA ANIMALS. 
n,"Oh Christ, he can't even be his own man. We're in for a world of shit."
n,Typical. How nice that evil people rule over all of us. Fucked up planet. I hate it.
n, Another low life that Indiana was glad to get rid of.
n, We Stand Against Apartheid American Observatory of Human Right INGO USA
n,"He envies a ""Dick."" Poor little guy."
n,typical low standards
n, The silent majority stayed silent. Apathy has fucked us 
c,"I know a lot of people who are worried and want to do something now that Trump will be president, but are not sure what to do or what is effective."
n,horrible men.A menace for our country.
n,"Wtf, ive been saying that Pence is the Cheney of the situation"
y," I seem to be seeing lots of footage of Clinton supporters rioting, beating trump supporters, looting, blocking traffic."
n," Donald J. Trump, The "" KING "" of Liars is untrustworthy ."
n, Nazi flags ? Where was all this nationalism white supremacy before Soros backed Hillary unexpectedly lost? 
n,this would be funny it it wasnt true
n,THESE are Trump supporters!!! All his retoric during the campaign has caused some to do these things because he told them it was ok.
n,"We must be ready for that. This will be our daily bread for the next four years. The blacks Americans have been living a centennial struggle against racial discrimination, but right now, we all are living one of the most perilous times in the modern US."
n, See how naiz trumpers are. And we got 4 years of hell now. Because of trump
n,TRUMP = BS
y,I am so ashamed of these awful acts and the people who are committing them.
c,Nobody really cares. If they did he wouldn't be president elect
n,He is dangerous to the world. I'd hate to be in America I must admit!!
c,Everyone wants to be protected from dangerous extremists who want to use violence.
c," Obama halts amnesty push in court, bows to incoming Trump administration!"
c," I don't hate trump, but I think America should had chose a better president."
c, Hillary was weird with her spirit cooking and Trump is what I think not really fit for this job.
n, Well with frump as president at least my country is no longer the no 1 joke of a country
c,Obama likes Yusuf Islam
c, He's just embarrassed that people are protesting his presidency so he's coming up with excuses
y,It was your racist cards used as censorship that caused you to lose this election. 
n,Yes he is and it's proven. This site is a joke
n, republicans are the dumbest trash on earth. 
n,Is there a million person march and rally planned for January 20th on Donald's inauguration day? 
n,He lied. Get use to it. It will get worse before it gets better.
n, FUCK YOU RACISTS AND SEXISTS!!! And the bastards that INFLUENCED you to be assholes!!
n, I WISH TO GOD SOMEBODY WOULD SAY SOME SHIT LIKE THAT TO MY FACE! OH GOD I WOULD FUCK THERE SHIT UP!!!
n, You dumb little fucks know nothing about life. Keep listening to your fucked in the head parents. There is no future.
n,The people who voted for Trump the bully you people must teach your kids to be bullies too do you teach your children to hate woman so are you Trump lovers go f*** yourself
n,I'm white bt let me hear another mfr screaming build a wall ANYWHERE I'ma hit them in the head with a mfn brick 
n,Trump is no good as anything especially being a man
n,I still absolutely cannot believe those clowns were actually chosen to run this country. Just incredibly sad.
c,It's time for this country to come together. The votes were tallied and like it or not he won.
c,Asshole. Trump.
y,America will become GREAT again.
n,Trump fraud bilked millions of dollars from innocent people
c,"I have the very same expression as I too watch the last days of our nation. When we are fascist, it will be a very scary place."
n,That would start a civil war. Just stop already.
y,The electoral College was designed to stop people like Hillary.
n, I'm going to start a car on fire and attack some people as a way to hate.
y,"Who cares what he looks like, at least he will make America Great. Y"
c,I lived though Clinton and Obama. Now you can live though Trump
n,Is the last 2020 pic his prison mugshot?
n,Trump is the dirty pic. Every body kill it and eat it.
n, NOT MY PRESIDENT 
c, History always repeat itself. Humankind never change. We getting numb against hate talk. 
c,Where's the parallel? Because you can't come up with anything.
n,"Pence is a fool, but would be better than Trump."
n, I'm sure if we keep going we can find someone with a brain.
c, Switch one bigot for another? I'm missing the point.
c,"If around the midterms, I think Democrats will regain power of house and senate.. possibly, so he would be ineffective anyway."
c, How about they both get impeached? That would solve everything
c,"Pence is the inevitable successor, but he sucks the big patootie big time"
c,I don't want either one!
c, both of them are crazy.They are bad for america.
c,I hear he owns a whoopie cushion.
y,Trump is most certainly smart enough to understand government. 
c,"white america has just been awakened, and I'm meaning this in a bad way!!!!"
n,Trump won because there's still a lot a racist ppl in America and that's the bottom line.
